Title,Link,Author Keywords,Index Keywords
"Transformative actions towards sustainable development. The case of Boscoreale municipality, Italy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077597284&doi=10.24193%2fJSSP.2019.2.04&partnerID=40&md5=bba1adf81aa58c7ee54e7454127afa16","Municipal master plan (PUC); Sustainable land use; Transformative action; Urban planning; Urban resilience","land use; local government; sustainable development; territorial planning; urban development; urban planning; Campania [Italy]; Italy; Napoli [Campania]; Vesuvius"
"The rainbo platform for enhancing urban resilience to floods: An efficient tool for planning and emergency phases","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077557220&doi=10.3390%2fcli7120145&partnerID=40&md5=1983813d95e5569fe9e275448c928fbc","Cml; Crowdsourcing; Early warning system; Flood risk maps; Microwave links; Rainfall estimates; Sensible targets; Vulnerability simulations; Web-based platform",
"Resilience actions to counteract the effects of climate change and health emergencies in cities: The role of artificial neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076853727&doi=10.4415%2fANN_19_04_14&partnerID=40&md5=a3cc6b71df258657e42352d18a94e07e","Artificial neural networks; Climate change Adaptation; Climate resilience of health; Health; Urban resilience actions","Arizona; city; city planning; climate change; emergency; environmental health; environmental monitoring; environmental protection; greenhouse effect; greenhouse gas; human; organization and management; procedures; Arizona; Cities; City Planning; Climate Change; Conservation of Natural Resources; Emergencies; Environmental Health; Environmental Monitoring; Greenhouse Effect; Greenhouse Gases; Humans; Neural Networks, Computer"
"Evaluating the feasibility of a decision support system for transportation infrastructure resiliency in response to extreme weather events","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075935618&doi=10.1061%2f9780784482650.008&partnerID=40&md5=b3e6da518b2bc1d8304a1512d0bd955c",,"Artificial intelligence; Decision support systems; Emergency services; Hurricanes; Roads and streets; Sea level; Sustainable development; Weather information services; Coastal regions; Environmental stress; Evacuation process; Extreme weather events; Satellite observations; Transportation infrastructures; Transportation network; Urban resilience; Urban transportation"
"Preparation for a world of resilience investment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075910663&doi=10.1061%2f9780784482650.063&partnerID=40&md5=023f0b976e495ce6a4a24ea2e042aeb8",,"Climate change; Engineers; Extreme weather events; Global investments; High impact; Investment sector; Project engineers; Turf management; Urban resilience; Investments"
"Slavutich: Formation of the urban resilience capacity in the conditions of current challenges and threats","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074067058&doi=10.15407%2fugz2019.03.022&partnerID=40&md5=fbade3a85a10a4fcd53d12a91c1d5807","Atomograd; Challenges and threats to urban development; Chornobyl nuclear power station; Slavutych; Survey; Urban resilience",
"Resilient urban design for flooding areas: A case study of Rio de Janeiro’s risky expansion toward Vargens","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073861295&doi=10.4324%2f9780429020445-10&partnerID=40&md5=8a11eebcd407fa631d3615e8ca575db2",,
"Strategic management of the urban rainwater resource: current conditions in Colombia [Gestão estratégica do recurso pluvial urbano: Condição atual na Colômbia] [Gestión estratégica del recurso pluvial urbano: Condición actual en Colombia]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073622305&doi=10.11144%2fJaveriana.cvu12-24.gerp&partnerID=40&md5=2971b6dc7b32f310913cdfde7b321431","Climate change; Flooding control; Urban resilience",
"Density - Intensity. Material and immaterial elements in assessing urban quality [Densità - intensità. Elementi materiali ed immateriali per una valutazione della qualità urbana]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072177963&doi=10.13128%2fTechne-24022&partnerID=40&md5=fbc1f57f1e99f330e2363c93f31dddfa","Climate change; Technologies for the built environment; Urban heat island",
"Research trends in urban health: Results from a bibliometric analysis [Tendencias investigativas en salud urbana: Resultados desde un análisis bibliométrico]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071836543&partnerID=40&md5=953a3f608282db8d189c52d1d9b8da49","Health; Quality of life; Sustainable development; Urban development","health status; policy approach; quality of life; research; state role; sustainability; sustainable development; territorial planning; urban development; Scopus"
"A Synthesis of Determinants of Urban Resilience in Sub-Saharan Africa","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071489034&doi=10.1007%2f978-3-030-12974-3_22&partnerID=40&md5=80b713e0d8ab2369ea6bf40260d62d2f","Determinants; Shocks; Stresses; Sub-Saharan Africa; Urban resilience",
"11th International Conference on Cross-Cultural Design, CCD 2019, held as part of the 21st International Conference on Human-Computer Interaction, HCI International 2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069822243&partnerID=40&md5=00a52c564e010e05d0efaabb7057ed6e",,
"System-based resilience assessment of networked transportation systems in metropolitan areas: Case of greater Los Angeles","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069214930&partnerID=40&md5=2fb836c44ccd605faf6625c01958a14d",,"Developing countries; Earthquakes; Hazards; Intelligent computing; American Society of Civil Engineers; Capacity constraints; Scenario earthquakes; Seismic hazard analysis; Transportation infrastructures; Transportation network; Transportation services; Transportation system; Urban transportation"
"An exploratory multivariate statistical analysis to assess urban diversity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068905717&doi=10.3390%2fsu11143812&partnerID=40&md5=6adf8c6db391002f95c744072595ada9","Barcelona; Biplot; Multiple Factor Analysis (MFA); Principal Component Analysis (PCA); Sustainability indicators; Urban diversity; Urban resilience; Urban sustainability","assessment method; environmental indicator; exploration; factor analysis; multivariate analysis; principal component analysis; sustainability; urban area; urban ecosystem; Barcelona [Catalonia]; Catalonia; Spain"
"Cyberpark, a New Medium of Human Associations, a Component of Urban Resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062960965&doi=10.1007%2f978-3-030-13417-4_16&partnerID=40&md5=b6afa979ca5792ffd2dc13c4a3158bfe","Disaster prevention in planning; Planning for resilience; Refugees and cyberparks; Social inclusion of refugees; Urban resilience","Disaster prevention; Disasters; Information and Communication Technologies; Information exchanges; Natural disasters; Physical contacts; Refugees and cyberparks; Social inclusion; Urban environments; Urban resilience; Information dissemination"
"Urban Resilience and Flash Floods: A Case Study of Chennai Metropolitan City","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062441794&doi=10.1007%2f978-3-319-94932-1_10&partnerID=40&md5=6a1b3a7e09f455c138fe7ddfdc74916e","Urban flooding; Urban management; Urban planning",
"Resistance for resilience: A reflexive exploration of battambang, Cambodia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060171057&doi=10.1007%2f978-3-319-98968-6_7&partnerID=40&md5=cd68c81dee8a492022f26b793d0a38fb","Informality; Resistance; Social justice; Spatial planning; Urban resilience",
"Dynamic integrated model for disaster management and socioeconomic analysis (DIM2SEA)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094972426&doi=10.20965%2fjdr.2018.p1257&partnerID=40&md5=d2b4b031c019210fb2fff9b3773eb399","Damage assessment; Disaster management; Disaster simulation; Socioeconomic impact; Urban simulation","Autonomous agents; Computational methods; Damage detection; Disaster prevention; Population statistics; Simulation platform; Disaster management; Integrated modeling; Large scale disasters; Multidimensional database; Socio-economic impacts; Socioeconomic analysis; Spatial allocation; Synthetic populations; Disasters"
"Spatial planning for urban resilience. assessing current prospects though a multilevel approach and a use case in northern Greece","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054996804&partnerID=40&md5=0cc88ee14c9a664a339f961450c2c875","Environment; Management; Planning; Regional; Transport; Urban",
"The resilience of Yogyakarta urbanized area: Perspective of policy for disaster risk reduction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058079145&doi=10.1088%2f1755-1315%2f202%2f1%2f012054&partnerID=40&md5=fdccf4ebb3f7c8b8bcbfd69bb140776b","Institutional; Policy; Resilience; Yogyakarta Urbanized Area","Climate change; Disasters; Planning; Public policy; Sustainable development; Urban growth; Disaster risk reductions; Environmental change; Institutional; Resilience; Sustainable urban development; Urban development; Urban resilience; Urbanized area; Environmental protection"
"Adaptive aspects of a resilient city","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058067787&doi=10.1088%2f1755-1315%2f202%2f1%2f012043&partnerID=40&md5=c21f8d2c3f5b9cdfb032e35b1f53825a",,"Disaster prevention; Sustainable development; Disaster preparedness; Temporal dimensions; Urban characteristics; Urban resilience; Planning"
"Cities and Skills for Integration: What Can Urban Planning do? Experiences and Reflections between Public Spaces and Collective Interest for Urban and Community (Smart) Resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060026891&doi=10.1109%2fRTSI.2018.8548366&partnerID=40&md5=db069a53887cd774c04a303781158a08","public interest; public space; social integration","Urban planning; Cooperative learning; Integration process; Integration programs; Public interest; Public space; Social integrations; Spatial relationships; Urban regeneration; Integration"
"Local economic development for urban resilience: The South African experiment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057480262&doi=10.1177%2f0269094218809316&partnerID=40&md5=180cee67c468444e461a4d5e88741d62","city governance; local economic development; local government; resilient city; South Africa; sustainable development; urban resilience",
"Green restoration of the industrial area of the city of Catania for improving urban resilience and sustainability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056820224&doi=10.17660%2fActaHortic.2018.1215.56&partnerID=40&md5=0ccdd0158aae4ae2ea7cbb2fe9b2221f","Climatic adaptation; Green infrastructures; LID strategy; Recovering deteriorated areas; Urban planning",
"Caveats and technical challenges in performance evaluation of activated carbon (AC) and non-AC filtration for NO2 abatement toward energy-efficient and healthy ventilation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051951752&doi=10.1016%2fj.jhazmat.2018.08.006&partnerID=40&md5=af54e236c2c222713dd7defeef27ac13","Activated carbon; Air cleaning; Error propagation analysis; NO2 removal; Unexpected desorption","Activated carbon; Climate control; Desorption; Energy efficiency; Indoor air pollution; Nitrogen oxides; Air cleaning; Error propagation analysis; Filtration equipment; Indoor applications; Low concentrations; Outdoor air pollution; Performance evaluations; Technical challenges; Air filters; activated carbon; nitric oxide; activated carbon; air conditioning; atmospheric pollution; concentration (composition); desorption; energy efficiency; error analysis; filtration; indoor air; performance assessment; ventilation; air conditioning; air pollution; Article; comparative study; concentration (parameters); desorption; energy conservation; filtration; gas; oxidation; particle size; physical chemistry; urban area"
"Pedagogical proposal about participation of children in urban environmental resource management [Proposta pedagógica de participação infantil na gestão ambiental urbana]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062215293&doi=10.30578%2fnomadas.n49a9&partnerID=40&md5=6d0fe70d8cff6f0481ad063ce0e47c2e","Children participation; Construction of citizenship; Dialogue of knowledge; Pedagogical device; Urban resilience",
"Introduction to SI: Modeling urban resilience to disasters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049623577&doi=10.1016%2fj.ijdrr.2018.07.002&partnerID=40&md5=d08a318d873c8fd10a296368b6acce0a",,
"Urban resilience: Towards a global sustainability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054419862&doi=10.1007%2f978-3-319-59047-9_22&partnerID=40&md5=a1da10f9a1b9b5049aa8482c71d075d1","Ecological resilience; Ecology; Resilience; Resilient cities; Resilient world",
"Greenfield/brownfield: Two sides of the same coin","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054414130&doi=10.1007%2f978-3-319-59047-9_29&partnerID=40&md5=da698a56c79d0e852a2f12ccfa599f5f","Backland developments; Brownfield; Greenfield; Greyfield; New city extensions",
"Perceptions and pathways of resilience in Addis Ababa","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050690476&doi=10.1108%2fIJBPA-02-2018-0014&partnerID=40&md5=1971704d2d0928718638ed70b0fbbb04","Ethiopia; Expert interviews; Provincializing; Qualitative research; Urban resilience","Ethiopia; Expert interviews; Provincializing; Qualitative research; Urban resilience; Urban growth"
"Hydraulic modeling as a condition of resilient urban projects in flood-prone area? [La modélisation hydraulique comme condition de la résilience des projets d’aménagement urbain en zone inondable ?]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058481109&doi=10.1051%2flhb%2f2018029&partnerID=40&md5=8135207ec6f72b8a7bae348961557452","Flood risk; Hydraulic modeling; Urban development project; Urban resilience","adaptive management; development project; flood; flood control; hydrological modeling; local government; negotiation process; neighborhood; risk assessment; urban design; urban development; Angers; France; Loire Basin; Maine et Loire; Pays de la Loire; Pays de la Loire"
"The notions of resilience in spatial planning for drought - Flood coexistence (DFC) at regional scale","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046088384&doi=10.1088%2f1755-1315%2f143%2f1%2f012066&partnerID=40&md5=4275cbd31ebccf64e23d1e5b5f83b618","adaptive capacity; adaptive cycles; drought - flood coexistence; ecosystems; extreme weather events; mitigate; spatial planning; sustainability; urban resilience","Arid regions; Drought; Ecology; Ecosystems; Floods; Planning; Regional planning; Sustainable development; Urban growth; Adaptive capacity; Adaptive cycles; Extreme weather events; mitigate; Spatial planning; Urban resilience; Urban transportation"
"Social media insights for sustainable development and humanitarian action in Indonesia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045743285&doi=10.1088%2f1742-6596%2f971%2f1%2f012040&partnerID=40&md5=ad164e378c163db8ffed0d68e1dc4f3a",,"Behavioral research; Decision making; Social aspects; Surveys; Evidence- based decisions; Human development; Penetration rates; Public opinions; Social media monitoring; Twitter datum; Urban resilience; User behaviors; Social networking (online)"
"Simulation based strategic decision making in humanitarian supply chain management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050808194&doi=10.1109%2fICT-DM.2017.8275683&partnerID=40&md5=a6ff2f695cb78d0687df6f9330c52638","Humanitarian Supply Chain Management; Multi-Agent based Modelling; Strategic Decision Support System; Traffic Simulation; Urban Resilience","Autonomous agents; Computational methods; Critical infrastructures; Decision support systems; Disaster prevention; Disasters; Multi agent systems; Public works; Supply chain management; Decision maker's preferences; Disaster management; Distributed resources; Multi agent; Strategic decision making; Strategic decisions; Traffic simulations; Urban resilience; Decision making"
